Plantaid,1,,plantcode,T&c CSV,,PlantDescription,Trim and chassis,,,,,,,,,,,,,,,
assyChardId,isActive,GOS,CCP,HOE,CreationDate,ModificationDate,productId,productCode,productDescription,productIsActive,areaId,areaCode,areaDescription,areaIsActive,operationId,operationCode,operationDescription,operationIsActive,idDistribution,distributioncode,distribudon descritoion,distributionisactive
1,true,CSV TX2300-5NA_1,TX2300-5NA_1,TX2300-5NA_1,2023-01-31T00:00:00,2023-01-31T00:00:00,1,T1,T1,true,1,t1,trim1,true,1,operation1,descriptionoperation1,true,1,CodeDistribution1,DescriptionDistribution1,true
2,true,CSV TX2400-5NA_1,TX2400-5NA_1,TX2400-5NA_1,2023-01-31T00:00:01,2023-01-31T00:00:01,2,T1,T1,true,2,t2,trim2,true,2,operation2,descriptionoperation2,true,1,CodeDistribution2,DescriptionDistribution2,true
3,true,GOS,CCP,HOE,2023-01-31T00:00:02,2023-01-31T00:00:02,3,Paint,Paint,true,3,P1,Paint1,true,3,operation3,descriptionoperation3,true,1,CodeDistribution3,DescriptionDistribution3,true
4,true,GOS,CCP,HOE,2023-01-31T00:00:03,2023-01-31T00:00:03,4,Paint,Paint,true,4,P1,Paint1,true,4,operation4,descriptionoperation4,true,1,CodeDistribution4,DescriptionDistribution4,true
5,true,GOS,CCP,HOE,2023-01-31T00:00:04,2023-01-31T00:00:04,5,Paint,Paint,true,5,P1,Paint1,true,5,operation5,descriptionoperation5,true,1,CodeDistribution5,DescriptionDistribution5,true
6,true,CSV TX2300-5NA_1,TX2300-5NA_1,TX2300-5NA_1,2023-01-31T00:00:05,2023-01-31T00:00:05,6,T1,T1,true,6,t2,trim2,true,6,operation6,descriptionoperation6,true,1,CodeDistribution6,DescriptionDistribution6,true
7,true,CSV TX2400-5NA_1,TX2400-5NA_1,TX2400-5NA_1,2023-01-31T00:00:06,2023-01-31T00:00:06,7,T1,T1,true,7,t3,trim3,true,7,operation7,descriptionoperation7,true,1,CodeDistribution7,DescriptionDistribution7,true
8,true,GOS,CCP,HOE,2023-01-31T00:00:07,2023-01-31T00:00:07,8,T1,T1,true,8,t4,trim4,true,8,operation8,descriptionoperation8,true,1,CodeDistribution8,DescriptionDistribution8,true
9,true,GOS,CCP,HOE,2023-01-31T00:00:08,2023-01-31T00:00:08,9,T1,T1,true,9,t1,trim1,true,9,operation9,descriptionoperation9,true,1,CodeDistribution9,DescriptionDistribution9,true
10,true,GOS,CCP,HOE,2023-01-31T00:00:09,2023-01-31T00:00:09,10,T1,T1,true,10,t2,trim2,true,10,operation10,descriptionoperation10,true,1,CodeDistribution10,DescriptionDistribution10,true
11,true,TL3800-5NA_1,TL3800-5NA_1,TL3800-5NA_1,2023-01-31T00:00:10,2023-01-31T00:00:10,11,Paint,Paint,true,11,P1,Paint1,true,11,operation11,descriptionoperation11,true,1,CodeDistribution11,DescriptionDistribution11,true
12,true,TL0600-5NA_1,TL0600-5NA_1,TL0600-5NA_1,2023-01-31T00:00:11,2023-01-31T00:00:11,12,Paint,Paint,true,12,P1,Paint1,true,12,operation12,descriptionoperation12,true,1,CodeDistribution12,DescriptionDistribution12,true
13,true,TL0700-5NA_1,TL0700-5NA_1,TL0700-5NA_1,2023-01-31T00:00:12,2023-01-31T00:00:12,13,Paint,Paint,true,13,P1,Paint1,true,13,operation13,descriptionoperation13,true,1,CodeDistribution13,DescriptionDistribution13,true
14,true,TL1200-5NA_1,TL1200-5NA_1,TL1200-5NA_1,2023-01-31T00:00:13,2023-01-31T00:00:13,14,T1,T1,true,14,t2,trim2,true,14,operation14,descriptionoperation14,true,1,CodeDistribution14,DescriptionDistribution14,true
15,true,TL0100-5NA_1,TL0100-5NA_1,TL0100-5NA_1,2023-01-31T00:00:14,2023-01-31T00:00:14,15,T1,T1,true,15,t3,trim3,true,15,operation15,descriptionoperation15,true,1,CodeDistribution15,DescriptionDistribution15,true
16,true,TL1300-5NA_1,TL1300-5NA_1,TL1300-5NA_1,2023-01-31T00:00:15,2023-01-31T00:00:15,16,T1,T1,true,16,t4,trim4,true,16,operation16,descriptionoperation16,true,1,CodeDistribution16,DescriptionDistribution16,true
17,true,TA0100-5NA_1,TA0100-5NA_1,TA0100-5NA_1,2023-01-31T00:00:16,2023-01-31T00:00:16,17,T1,T1,true,17,t1,trim1,true,17,operation17,descriptionoperation17,true,1,CodeDistribution17,DescriptionDistribution17,true
18,true,TA0200-5NA_1,TA0200-5NA_1,TA0200-5NA_1,2023-01-31T00:00:17,2023-01-31T00:00:17,18,T1,T1,true,18,t2,trim2,true,18,operation18,descriptionoperation18,true,1,CodeDistribution18,DescriptionDistribution18,true
19,true,TA0300-5NA_1,TA0300-5NA_1,TA0300-5NA_1,2023-01-31T00:00:18,2023-01-31T00:00:18,19,T1,T1,true,19,t3,trim3,true,19,operation19,descriptionoperation19,true,1,CodeDistribution19,DescriptionDistribution19,true
